"Ред.бр","Уп.Бр","Вид на лиценца","Назив на правното лице и седиште / датум на важност на лиценцата","Назив на угостителски објект","Адреса на седиште на угпстителскипт објект","година"
"157","ФП1 13-24
24.01.2022","кабаре","ДУФ ХЕЛИОС СИУИ ДООЕЛ Струмица / ул.Јосиф Јосифовски Свештарот бр.8
Струмица / ФП1 13 - 24 од 28.02.2023","ХЕЛИОС","ул.Јосиф Јосифовски Свештарот бр.8 Струмица","2023"
"158","ФП1 13-65
22.03.2023","диско клуб","ДУУФ СПАЈДЕР МФЛУИПЛЕКС ДООЕЛ Гевгелија / Фл.Вардарски рид бр.20
Гевгелија / ФП1 13-65 од 08.03.2023","ДЕ ФАКТО","Фл.Вардарски рид бр.20 Гевгелија","2023"
"159","ФП1 13- 71
24.02.2023","кабаре","УДФУ УРОПИКАЛ КАФЕ ДООЕЛ Охрид / ул.Ууристишка бр.1 Охрид /СРЦ
Билјанини извори Охрид / ФП1 13-71 од 27.02.2023","ТРОПИКАЛ КАФЕ","ул.Ууристишка бр.1 Охрид /СРЦ Билјанини извори
Охрид","2023"
"160","ФП1 13-51
15.02.2023","кабаре","ДПУФФ ММММ КАФЕ ДООЕЛ Кочани/ Фл.Димитар Влахов бр.5/СФ -33
Кочани / ФП1 13-51 од 13.03.2023","КЛУБ ПУЛС","Фл.Крижевска БР.2 Кочани","2023"
"161","ФП1 13-189
08.05.2023","кабаре","ДУФ КАБАРЕ КЛИКФЕ ДОО Штип/ Фл.Партизанска бр.42/1 Штип / ФП1 13- 189
од 16.05.2023","КЛИКУЕ","Фл.Др.Слободан Јовановски бр.2 Штип","2023"
"162","ФП1 13-227
18.05.2023","кабаре","ДПУФ КОМПАКУ 2019 ДООЕЛ Виница Фл.215, Градец - Виница ФП1 13-227  од
09.06.2023","КОД","Населено место Градец бр.215 - Виница","2023"
"163","ФП1 13- 272
25.05.2023","Диско клуб на отворен
простор","ДПУФ КС ФЕЛИЦИЈА ДООЕЛ Битола / Фл.Новашки пат бр.14 Битола / ФП1 13-
272 од 15.06.2023","ГОЛД ФЕЛИЦИЈА","Фл.Новашки пат бр.14 Битола","2023"
"164","ФП1 13-350
07.06.2023","Диско клуб на отворен
простор","ДФУП ТИФЛЕНД ДООЕЛ Битола - Фл.Маршал Уито бр.162 Битола ( Олимписки
базен ) ФП1 13- 350  од 09.06.2023","ХАШ","Фл.Маршал Уито бр.162 Битола ( Олимписки
базен )","2023"
"165","ФП1 13-370
12.06.2023","кабаре","ДПУФ ЕЛ - ЕМ ДООЕЛ Охрид - Фл.Св.Климент Охридски бб Охрид ФП1 13- 370
од 13.06.2023","КЛУБ 1","Фл.Булевар Ууристишка бр.1 Охрид","2023"
"166","ФП1 13- 406
21.06.2023","Диско клуб на отворен
простор","ДПУФ ИНДФСУРИЈАЛ ГРФП ДООЕЛ Струмица - Фл.Ленинова бр.44 Струмица
ФП1 13-406 од 23.06.2023","ИНДУСТРИЈАЛ","Фл.Глигор Новаков бр.14 Струмица","2023"
"166","ФП1 13-113
17.03.2023","кабаре","ДУФ КИКОМ Зоран Наумовски ДООЕЛ увоз-извоз Скопје Фл.Св.Кирил И
Методиј бр.52- Б Скопје ФП1 13-113 од 21.07.2023","САЛУН","Фл.Св.Кирил И Методиј бр.52- Б Скопје","2023"
"167","ФП1 13-626
15.08.2023","диско клуб","ДПУФ КЛФБ ЕНИГМА ДОО Куманово ул.Бранко Димов бр.9 Куманово/ ФП1
13-626 од 21.09.2023","КЛУБ ЕНИГМА","Фл.Иво Лола Рибар бр.128 Куманово","2023"
"168","ФП1 13-636
22.08.2023","кабаре","ДПУФ БАЛКАН ЦЕНУРАЛ ДОО Кавадарци - Фл.Плоштад Маршал Уито бр.1
Кавадарци ФП1 13-636 од 22.08.2023","ЦЕНТРАЛ","Фл.Плоштад Маршал Уито бр.1 Кавадарци","2023"
"169","ФП1 13- 634
22.08.2023","кабаре","УП УАРАНУИНО КЛФБ ВЕЛЕС / Фл.Благој Дорев бр.59 Велес / ФП1 13-634 од
24.08.2023","ТАРАНТИНО","Фл.Благој Дорев бр.59 Велес","2023"
"170","ФП1 13-315
31.05.2023","кабаре","ДПУФУ ГГ- КОМ ДООЕЛ Берово/ул.Моша Пијаде бр.2 Берово / ФП1 13-315 од
05.10.2023","ГГ - КОМ","ул.Моша Пијаде бр.2 Берово","2023"
"171","ФП1 13-703
28.09.2023","кабаре","ДФФ НОКУФРНО - ИМПАКУ ДООЕЛ Велес / ул.Ристо Попов нр.1 Велес/ ФП1 13-
703 од 05.10.2023","НОКТУРНО - ИМПАКТ","Фл.Алексо Демниевски - Бауман бр.10 Велес","2023"
"172","ФП1 13-712
03.10.2023","кабаре","УДУФУ Марио Урифуновски МАРИО ДООЕЛ Битола/ Фл.Партизанска бр.21
Битола / ФП 1 13-712 од 05.10.2023","МАРИО","Фл.Партизанска бр.21 Битола","2023"
"173","ФП1 13-765
15.11.2023","кабаре","ДПТФ МАНИЈА ФАН ДООЕЛ Прилеп / Фл.Цане Илиоски бр.72 Прилеп /ФП1 13
- 765 од 16.11.2023","МАНИЈА - ФАН","Фл.Орде Уутески бр.3 Прилеп","2023"
"174","ФП1 13-786
01.12.2023","кабаре","ДПУФ ЕФРО ПЛАУИНФМ КЛФБ ДОО Струмица/ Фл.Ленинова бр.44 / ГтЦ
Глобал Струмица / ФП1 13 - 786 од 21.12.2023 година","ЕУРО ПЛАТИНУМ КЛУБ","Фл.Моша Пијаде бр.1 Струмица","2023"
"175","ФП1 13-797
06.12.2023","кабаре","ДКЗУФ ЕНЕРЧИ НАЈУ КЛФБ ДООЕЛ Уетово / Фл.Маршал Уито бр.28 Уетово /ФП
1 13 - 797 од 22.12.2023","ЕНЕРЧИ НАЈТ КЛУБ","Фл.Маршал Уито бр.28 Уетово","2023"
"176","ФП1 13-825
15.12.2023","кабаре","ДУФФ СУАРС КЛФБ ДООЕЛ увоз извоз Охрид/ Фл.Железнишка бр.114 -А
Охрид/ ФП1 13-825 од 22.12.2023","СТАРС КЛУБ","Фл.Железнишка бр.114- а  Охрид","2023"
"177","ФП1 13-842
26.12.2023","кабаре","ДФУФ ПРИЈАУЕЛСУВО ДООЕЛ Охрид / Фл.Партизанска бр.2 Охрид/ФП113-842
од 26.12.2023","ПРИЈАТЕЛСТВО","Фл.Партизанска бр.2 Охрид","2023"
"178","ФП1 13-722
13.10.2023","кабаре","ДПУФ КС ФЕЛИЦИЈА ДООЕЛ Битола/ул.Новашки пат бр.14 Битола/ФП13-722
од 01.12.2023","ГОЛД ФЕЛИЦИЈА","Новашки пат бр.14 Битола","2023"
"179","ФП1 13-833
20.12.2023","Дискоклуб","ДУФФ АБ РОШЕ ИНВЕСУ ДООЕЛ Охрид /Фл.Железнишка бр.10 зграда1 -
приземје Охрид / ФП1 13-833 од 22.12.2023","АБ РОшЕ","Фл.Железнишка бр.10 зграда1 - приземје Охрид","2023"
"180","ФП1 13-725
10.10.2018","Дискоклуб на отворен
простор","ДУФ МНЗ - КОМ ДООЕЛ Скопје /Фл.Митрополит Уеодосиј Гологанов бр.51
Скопје / ФП1 13- 725 од 11.01.2024 година","ПЈУР","Фл.1732 бр.13 Скопје","2024"
"181","ФП1 13-676
12.09.2023","кабаре","ДУФ КАБАРЕ БЛЕК ДОО Штип/Фл.Михајло Апостоловски бр.21 Штип/ ФП1 13-
676 од 15.01.2024","БЛЕК","Фл.Михајло Апостоловски бр.21 Штип","2024"
"182","ФП1 13-145
07.04.2023","кабаре","ДУФ А-МИ Милшо и Ацо ДОО Скопје Фл.Столтенбергова бр.8 - Скопје ФП1 13-
145 05.01.2024","А - МИ","Фл.Столтенбергова бр.8 Скопје","2024"
"183","ФП1 13-749
31.10.2023","кабаре","ДПУФ АВУОСИГФРНОСУ ДООЕЛ Свети Николе/ Фл.Маршал Уито  бр.100 Свети
Николе / ФП1 13-749 од 17.01.2024 год.","АВТОСИГУРНОСТ","Фл.Маршал Уито  бр.100 Свети Николе","2024"
"184","ФП1 13-13
05.01.2024","кабаре","ДПУФ УАЛЕвски Илија Мирко и други ТИФ ДОО Битола / ул.Иво Лола Рибар
бб / Олимписки базен Битола / ФП 1 13- 13 од 15.04.2024","ИМПЕРАТОР","Фл.Иво Лола Рибар бб / Олимписки базен Битола","2024"
"185","ФП1 13-24
18.01.2024","кабаре","ДПУФ АРХАНГЕЛОС 2007 ДООЕЛ Прилеп /Фл.Архиепископ Доситеј бр.107
Прилеп/ ФП 1 13- 24 од 15.03.2024","АРХАНГЕЛОС 2007","Фл.Архиепископ Доситеј бр.107 Прилеп","2024"
"186","ФП1 13-50
08.02.2024","кабаре","ДУФ БВ - АКРОПОЛИС ДООЕЛ Неготино / Фл.Ацо Ачи Илов бр.13 Неготино /
ФП13-50 од 29.02.2024","БОРИС","Фл.Ацо Ачи Илов бр.13 Неготино","2024"
"187","ФП1 13-146
13.03.2024","кабаре","УДФУ УРОПИКАЛ КАФЕ ДООЕЛ Охрид/Фл.СРЦ Билјанини Извори бр.1
Охрид/ФП1 13-146 од 11.04.2024 год","ХАНГАР","Фл.СРЦ Билјанини Извори бр.1 Охрид","2024"
"188","ФП1 13-169
27.03.2024","Дискоклуб","ДФУФ СПАЈДЕР МФЛУИПЛЕКС ДООЕЛ Гевгелија / Фл.Вардарски Рид бр.20
Гевгелија / Ф-П1 13-169 од 02.04.2024","КЛУБ ДЕ ФАКТО","Вардарски Рид бр.20 Гевгелија","2024"
"189","ФП1 13-174
01.04.2024","кабаре","ДПУФ КАБАРЕ ВИС 44 ДООЕЛ Делчево / Фл.Светозар Марковиќ бб Делчево /
ФП1 13-174 од 30.04.2024","ВИС 44","Фл.Светозар Марковиќ бб Делчево","2024"
"190","ФП1 13- 191
05.04.2024","Дискоклуб на отворен
простор","ДПУФ КС ФЕЛИЦИЈА ДООЕЛ Битола/Фл.Новашки пат бр.14 Битола/ФП13-191
од 11.06.2024","ГОЛД ФЕЛИЦИЈА","Фл.Новашки пат бр.14 Битола","2024"
"191","ФП1 13-216
19.04.2024","кабаре","ДФУФ ВОИД КЛФБ ДООЕЛ Кишево/ Фл.Руднишка бр.1А Кишево / ФП1 13- 216
од 20.05.2024","ВОИД КЛУБ","Фл.Руднишка бр.1А Кишево","2024"
"192","ФП1 13-224
29.04.2024","Дискоклуб на отворен
простор","ДФУП ТИФЛЕНД ДОО Битола/ Фл.Широк Сокак бр.162 Битола/ФП1 13-224 од
11.06.2024","ХАш","Фл.Широк Сокак бр.162 Битола","2024"
"193","ФП1 13-228
13.05.2024","кабаре","ДУФ КЛИКФЕ ДОО Штип/Фл.Д-р Слободан Јовановски бр.22 Штип / ФП1 13-
228 од 20.05.2024","КЛИКУЕ","Фл.Д-р Слободан Јовановски бр.22 Штип","2024"
"194","ФП1 13-258
05.06.2024","кабаре","ДПУФ КОМПАКУ 2019 ДООЕЛ Виница -/ с.Градец Виница / ФП1 13-258 од
12.06.2024","КОМПАКТ 2019","с.Градец Виница","2024"
"195","ФП1 13- 277
18.06.2024","кабаре","ДПУФФ ЕЛ - ЕМ ДООЕЛ Охрид/Фл.Св.Климент Охридски бб Охрид / ФП1 13-
20.06.2024","КЛУБ -1","Фл.Св.Климент Охридски бб Охрид","2024"
